fid,name,description,ratingCount,ratingValue,contentRating,genre,keywords,duration,datePublished,actor,director,image
1646980,The Double,"A retired CIA operative is paired with a young FBI agent to unravel the mystery of a senator's murder, with all signs pointing to a Soviet assassin.",31924,5.9,PG-13,"Action,Adventure,Drama","laptop computer,office,revelation,limousine,rookie",5880,2011-12-08,"Richard Gere,Topher Grace,Martin Sheen",Michael Brandt,https://m.media-amazon.com/images/M/MV5BMjIwNjM5NTE1M15BMl5BanBnXkFtZTcwMzgxOTA1Ng@@._V1_.jpg
7945440,The Lie,"A father and daughter are on their way to dance camp when they spot the girl's best friend on the side of the road. When they stop to offer the friend a ride, their good intentions soon result in terrible consequences.",21416,5.8,R,"Drama,Thriller","father daughter relationship,separated parents,girlfriend,murder,pushed off a bridge",5820,2020-10-06,"Peter Sarsgaard,Mireille Enos,Joey King",Veena Sud,https://m.media-amazon.com/images/M/MV5BMTgwYzcwMGUtZDFlOS00M2Q5LTk0MmMtMzFmOGMzOGUyMDQ4XkEyXkFqcGc@._V1_.jpg
345061,Code 46,"A futuristic Tình Như Thoáng Mây (1945), this is a love story in which the romance is doomed by genetic incompatibility.",21301,6.1,R,"Drama,Romance,Sci-Fi","abortion,vagina,infidelity,pregnancy,dystopia",5580,2004-09-17,"Tim Robbins,Samantha Morton,Om Puri",Michael Winterbottom,https://m.media-amazon.com/images/M/MV5BOWVhMWEwMTMtYTgzZi00NjAyLWE3YTktNjhiYzU2ZmMzZDZkXkEyXkFqcGc@._V1_.jpg
9173418,Brahms: The Boy II,"After a family moves into the Heelshire Mansion, their young son soon makes friends with a life-like doll called Brahms.",21357,4.7,C16,"Drama,Horror,Mystery","sequel,second part,nurse,doctor,doll",5160,2020-02-21,"Katie Holmes,Christopher Convery,Owain Yeoman",William Brent Bell,https://m.media-amazon.com/images/M/MV5BYjFmOTNhYjQtNTRjZi00NGU4LThjNWQtYmUxNjM3NjBhZDk1XkEyXkFqcGc@._V1_.jpg
7134908,Élite,"When three low-income students are offered scholarships to attend an exclusive school, their affluent classmates react with distrust and hostility. The friction that ensues results in a murder, which irrevocably alters all of thei...",94736,7.2,TV-MA,"Crime,Drama,Thriller","gay character,bisexual,bra and panties,deep cleavage,breasts",,2018-10-05,"Omar Ayuso,Itzan Escamilla,Miguel Bernardeau",,https://m.media-amazon.com/images/M/MV5BOTViZmMyNGUtZDhiMy00NGIxLTgzNzEtZmRhYjA4Y2E3NjIwXkEyXkFqcGc@._V1_.jpg
1620719,Dabangg,"A corrupt police officer faces challenges from his family, gangsters and politicians.",35051,6.2,Not Rated,"Action,Comedy,Crime","action hero,police officer,laundry drying on a clothesline,hose,corrupt police officer",7560,2010-09-10,"Salman Khan,Sonakshi Sinha,Sonu Sood",Abhinav Kashyap,https://m.media-amazon.com/images/M/MV5BMTMyOTQ0Mzg2Ml5BMl5BanBnXkFtZTcwMDcyOTM5NA@@._V1_.jpg
110725,On Deadly Ground,A blowout firefighter takes on an environmentally destructive oil corporation by causing many deaths and explosions in Alaska.,25936,4.6,R,"Action,Adventure,Thriller","oil company,alaska,corporate greed,snow adventure,oil",6060,1994-02-18,"Steven Seagal,Michael Caine,Joan Chen",Steven Seagal,https://m.media-amazon.com/images/M/MV5BNWM0MTM2YWItYzg2My00MTNhLWFlOGYtMjRiMDcyYmFmNThmXkEyXkFqcGc@._V1_.jpg
225071,Angel Eyes,"A mysterious man is drawn to a feisty female police officer and an unusual relationship ensues, as not everything is as it seems.",25966,5.7,R,"Drama,Romance","love,falling in love,female police officer,mysterious man,twist of fate",6120,2001-05-18,"Jennifer Lopez,Jim Caviezel,Jeremy Sisto",Luis Mandoki,https://m.media-amazon.com/images/M/MV5BNDQwNzI2OTY2Ml5BMl5BanBnXkFtZTYwOTI3ODc5._V1_.jpg
54743,The Children's Hour,A rebellious student at a girls' school accuses two teachers of lesbianism.,19004,7.8,Approved,"Drama,Romance","lesbian,spoiled child,bigotry,false accusation,girls' boarding school",6480,1961-12-19,"Audrey Hepburn,Shirley MacLaine,James Garner",William Wyler,https://m.media-amazon.com/images/M/MV5BYzA1MmJiMDItZWJhNC00YjQ0LTk1NWYtZWU2YWRhZmUwMWFiXkEyXkFqcGc@._V1_.jpg
91670,Offret,"At the dawn of World War III, a man searches for a way to restore peace to the world and finds he must give something in return.",32240,7.9,PG,Drama,"long take,arson,slow cinema,female nudity,female rear nudity",8940,1986-05-09,"Erland Josephson,Susan Fleetwood,Allan Edwall",Andrei Tarkovsky,https://m.media-amazon.com/images/M/MV5BYWQ5ODRjNzktOTI2OC00ZGFhLWE1MGMtYjEyNTNjODA3NmNlXkEyXkFqcGc@._V1_.jpg
2297757,Nathan for You,"Nathan Fielder uses his business degree and life experiences to help real small businesses turn a profit. But because of his unorthodox approach, Nathan's genuine efforts to do good often draw real people into an experience far be...",41610,8.9,TV-14,"Documentary,Comedy","reenactment,businessman,quirky comedy,2010s,21st century",,2013-02-28,"Nathan Fielder,Salomon Flores,Anthony Filosa",,https://m.media-amazon.com/images/M/MV5BNDU5OTA3YWUtYTIxYi00MWEwLTljZDEtYjhiYjEwYmJhMGVlXkEyXkFqcGc@._V1_.jpg
9788490,Suits,A community of farmers use their homemade mechs to defend their families from an alien invasion.,19161,7.4,TV-MA,"Animation,Short,Action","farmer,mech,self sacrifice,alien insect,mech suit",1020,2019-03-15,"Neil Kaplan,G.K. Bowes,Scott Whyte","Gabriele Pennacchioli,Franck Balson",https://m.media-amazon.com/images/M/MV5BYWM2YTRjMDktZDJkZi00MzFjLTk5YWMtOGYzNThkZDY4Zjk4XkEyXkFqcGc@._V1_.jpg
2461132,Happy New Year,A gang of amateur dancers takes part in a dancing competition to avenge their personal vendetta.,41989,5.0,TV-14,"Action,Comedy,Drama","dance,heist,dancer,caper,dancing",10800,2014-10-24,"Shah Rukh Khan,Deepika Padukone,Abhishek Bachchan",Farah Khan,https://m.media-amazon.com/images/M/MV5BYjc3MjY0NzctMGYwNy00ZGYyLThiOTctMjI1MWRkNmU3ZWNiXkEyXkFqcGc@._V1_.jpg
785006,Hotel for Dogs,"Two siblings who are forbidden to bring animals home secretly take in stray dogs at an abandoned hotel, thus creating an ideal shelter by transforming the hotel into an incredible paradise for dogs.",25486,5.5,PG,"Comedy,Family","animal in title,overalls,male and female protagonists,older sister younger brother relationship,canadian dog",6000,2009-01-16,"Emma Roberts,Jake T. Austin,Lisa Kudrow",Thor Freudenthal,https://m.media-amazon.com/images/M/MV5BMTI5NjkxOTE5MF5BMl5BanBnXkFtZTcwMTcxNTAwMg@@._V1_.jpg
14402146,Empire of Light,"A drama about the power of human connection during turbulent times, set in an English coastal town in the early 1980s.",25506,6.7,R,"Drama,Romance","1980s,year 1981,reference to paul mccartney,reference to laurence olivier,reference to chariots of fire",6900,2022-12-09,"Olivia Colman,Micheal Ward,Colin Firth",Sam Mendes,https://m.media-amazon.com/images/M/MV5BZjNmYjhkMDgtNGM3Yi00ODNiLTk5NGUtZjFjZTUxYTI0ZjkyXkEyXkFqcGc@._V1_.jpg
46487,Les vacances de Monsieur Hulot,"Monsieur Hulot comes to a beachside hotel for a vacation and accidentally, but good-naturedly, causes havoc.",20708,7.3,Not Rated,Comedy,"holiday,hotel,waiter,vacation,seaside",6840,1953-02-25,"Jacques Tati,Nathalie Pascaud,Micheline Rolla",Jacques Tati,https://m.media-amazon.com/images/M/MV5BN2YzMmY5ZTMtMjJiNC00NjI0LWI2YzMtNjBiZmJhYzk0NjU0XkEyXkFqcGc@._V1_.jpg
4547194,I Kill Giants,Barbara Thorson struggles through life by escaping into a fantasy life of magic and monsters.,33348,6.1,C13,"Drama,Fantasy,Thriller","giant,bully,cancer,forest,school",6360,2018-05-11,"Madison Wolfe,Zoe Saldana,Imogen Poots",Anders Walter,https://m.media-amazon.com/images/M/MV5BMjM1MTc3ODcwMV5BMl5BanBnXkFtZTgwNTU2MjA4NDM@._V1_.jpg
99180,Bride of Re-Animator,Doctors Herbert West and Dan Cain discover the secret to creating human life and proceed to create a perfect woman from dead tissue.,18132,6.2,R,"Comedy,Horror,Sci-Fi","gore,sequel,mad scientist,reanimated corpse,zombie",5760,1990-07-08,"Jeffrey Combs,Bruce Abbott,Claude Earl Jones",Brian Yuzna,https://m.media-amazon.com/images/M/MV5BZTJjNzVmODktNTk5NC00ZDU5LTkzZDAtNmZjODEzODE3MDRiXkEyXkFqcGc@._V1_.jpg
135659,Storm of the Century,A dangerous blizzard hits an isolated town and brings along a mysterious stranger intent on terrorizing people for his own desires.,25148,7.3,PG-13,"Drama,Fantasy,Horror","storm,village,secret,suicide,murder",,1999-02-14,"Tim Daly,Colm Feore,Debrah Farentino",,https://m.media-amazon.com/images/M/MV5BYzljZTBhYjItYTNlNi00OWU1LTkyZTYtZTkxZmUwOTQ4MGZkXkEyXkFqcGc@._V1_.jpg
9059350,Warrior Nun,"After waking up in a morgue, an orphaned teen discovers she now possesses superpowers as the chosen Halo Bearer for a secret sect of demon-hunting nuns.",56772,7.0,C18,"Action,Drama,Fantasy","female protagonist,based on comic book,female warrior,demon hunter,lesbian",,2020-07-02,"Alba Baptista,Kristina Tonteri-Young,Lorena Andrea",,https://m.media-amazon.com/images/M/MV5BNWNmYjRiOGEtMDRiZS00ZTYwLThhNmUtYWQ1MmQzZDdjNTczXkEyXkFqcGc@._V1_.jpg
374563,Captivity,"A man and a woman awaken to find themselves trapped in a cellar. As their kidnapper drives them mad, the truth about their horrific abduction is revealed.",23899,4.6,R,"Crime,Horror,Mystery","rape by deception,crawling through an air shaft,taking a pet dog to a public place,strapped to a chair,funnel in mouth",5760,2007-03-01,"Elisha Cuthbert,Daniel Gillies,Pruitt Taylor Vince",Roland Joffé,https://m.media-amazon.com/images/M/MV5BMTkzMjc3MTEzN15BMl5BanBnXkFtZTcwMzYzNjA1MQ@@._V1_.jpg
2258345,Fading Gigolo,"Fioravante decides to become a professional Don Juan as a way of making money to help his cash-strapped friend, Murray. With Murray acting as his ""manager"", the duo quickly finds themselves caught up in the crosscurrents of love a...",25732,6.2,R,"Comedy,Romance","male prostitute,lingerie,garter,gigolo,male escort",5400,2014-04-09,"John Turturro,Woody Allen,Sharon Stone",John Turturro,https://m.media-amazon.com/images/M/MV5BMTQzMjU3NjY0Nl5BMl5BanBnXkFtZTgwMTQ1NDM5MDE@._V1_.jpg
395843,CSI: NY,Second CSI spin off which follows the Crime Scene Investigator's (CSI) of the New York Police Department (NYPD) as they use advanced forensic science to reveal the circumstances behind mysterious and unusual deaths in New York City.,50278,7.0,TV-14,"Action,Crime,Drama","first grade,new york,new york city,detective,medical examiner",,2004-09-22,"Gary Sinise,Carmine Giovinazzo,Hill Harper",,https://m.media-amazon.com/images/M/MV5BMGExMjFmMzktYzkyOS00YjFhLThiNmItNTA4NGRhMTE3OWJjXkEyXkFqcGc@._V1_.jpg
11080108,The Map of Tiny Perfect Things,"Two teens live the same day repeatedly, enabling them to create a map of things to remember.",29597,6.8,PG-13,"Comedy,Fantasy,Romance","time loop,trapped,ending a time loop,time travel,american time travel",5880,2021-02-12,"Kathryn Newton,Kyle Allen,Jermaine Harris",Ian Samuels,https://m.media-amazon.com/images/M/MV5BZWJjZmNlZGMtYjE3MC00MzIwLTlmZDMtZDdkMjk5ZjA2MGRjXkEyXkFqcGc@._V1_.jpg
5097410,Noelle,"Santa's daughter must take over the family business when her father retires and her brother, who is supposed to inherit the Santa role, gets cold feet.",28115,6.3,G,"Comedy,Family,Fantasy","christmas,santa claus,christmas eve,north pole,elf",6000,2019-11-12,"Anna Kendrick,Shirley MacLaine,Bill Hader",Marc Lawrence,https://m.media-amazon.com/images/M/MV5BY2I2OTM0MjQtYjY0Mi00NWY1LWEyZjItZjM5MzM0Y2M2N2MxXkEyXkFqcGc@._V1_.jpg
109759,Exotica,"A man plagued by neuroses frequents the club Exotica in an attempt to find solace, but even there his past is never far away.",21485,7.0,R,Drama,"public nudity,death of daughter,haunted by the past,stripper,female full frontal nudity",6180,1994-10-21,"Bruce Greenwood,Elias Koteas,Don McKellar",Atom Egoyan,https://m.media-amazon.com/images/M/MV5BNmIwZWQxMWUtMDllZi00ZmY5LTkwY2ItNjRkNThhNWZiZjgzXkEyXkFqcGc@._V1_.jpg
37101,"Murder, My Sweet","After being hired to find an ex-con's former girlfriend, Philip Marlowe is drawn into a deeply complex web of mystery and deceit.",15194,7.5,Approved,"Crime,Drama,Film-Noir","jade necklace,stolen jewelry,philip marlowe character,man wears an undershirt,hypodermic needle",5700,1945-02-22,"Dick Powell,Claire Trevor,Anne Shirley",Edward Dmytryk,https://m.media-amazon.com/images/M/MV5BMTQ0NzM2NzctYjI1Yi00NWEzLWFhNTYtYjFkN2QwZGRkNDlhXkEyXkFqcGc@._V1_.jpg
2301457,Madrigal,"Walt and Jesse decide to look for a new partner to help them in their latest scheme. The DEA sifts through various leads, hoping to find something.",30818,8.8,TV-14,"Crime,Drama,Thriller","title directed by female,watching tv,dishwashing,cigarette,foreign language title",2820,2012-07-22,"Bryan Cranston,Anna Gunn,Aaron Paul",Michelle MacLaren,https://m.media-amazon.com/images/M/MV5BNTc5NjQ0MTQwN15BMl5BanBnXkFtZTcwNDk2MzQxOA@@._V1_.jpg
12987894,American Murder: The Family Next Door,"In 2018, 34-year-old Shanann Watts and her two young daughters disappear in Colorado. With the heartbreaking details emerging, the family's story made headlines around the world.",34359,7.2,TV-MA,"Documentary,Crime","murder,adultery,home video footage,familicide,family annihilation",4980,2020-09-30,"Nickole Atkinson,Jim Benemann,Luke Epple",Jenny Popplewell,https://m.media-amazon.com/images/M/MV5BNDM3OTlhM2EtNjQ3Ni00MmM1LTgzZDgtMGYxNGM4NjdmNDgxXkEyXkFqcGc@._V1_.jpg
480489,Erufen rîto,"Two university students come across a seemingly harmless girl named Lucy, unaware that she's actually a mutant serial killer with a split personality.",38293,7.9,TV-MA,"Animation,Action,Drama","anime,split personality,gore,psychic,psychic power",,2004-07-25,"Sanae Kobayashi,Chihiro Suzuki,Mamiko Noto",,https://m.media-amazon.com/images/M/MV5BYmNlZjlmNGYtOWU3ZC00ZjE3LWJjNzctMjhjNDRkMzg3NGUxXkEyXkFqcGc@._V1_.jpg
126170,Recess,"Comic tales of a group of good friends, four boys and two girls, during breaks in primary school, as they grow up, relate to each other, and have brushes with authority.",28946,7.8,TV-Y,"Animation,Adventure,Comedy","boy wears eyeglasses,girl wears eyeglasses,woman wears eyeglasses,slice of life,child protagonist",,1997-08-31,"Andrew Lawrence,Ashley Johnson,Jason Davis",,https://m.media-amazon.com/images/M/MV5BY2I4OTZhNGEtOTBmMi00ZDVjLWEzOTctOWFiOWRkMmViYTExXkEyXkFqcGc@._V1_.jpg
62136,Playtime,"Monsieur Hulot curiously wanders around a high-tech Paris, paralleling a trip with a group of American tourists. Meanwhile, a nightclub/restaurant prepares its opening night, but it's still under construction.",26845,7.8,Not Rated,Comedy,"tourist,restaurant,paris france,airport,1960s",9300,1967-12-16,"Jacques Tati,Barbara Dennek,Rita Maiden",Jacques Tati,https://m.media-amazon.com/images/M/MV5BMDA4NTU0YzItNjc0MS00ODE2LWE1MDYtMWY3ZTk3MWE2N2M5XkEyXkFqcGc@._V1_.jpg
430308,Get Rich or Die Tryin',A tale of an inner city drug dealer who turns away from a life of crime to pursue his passion of rap music.,51325,5.5,R,"Biography,Crime,Drama","male full frontal nudity,pubic hair,prison,violence,blood",7020,2005-11-09,"50 Cent,Joy Bryant,Adewale Akinnuoye-Agbaje",Jim Sheridan,https://m.media-amazon.com/images/M/MV5BMTI4NTE0MTU2N15BMl5BanBnXkFtZTYwNzQ1OTc2._V1_.jpg
963194,Repo! The Genetic Opera,"A worldwide epidemic encourages a biotech company to launch an organ-financing program similar in nature to a standard car loan. The repossession clause is a killer, however.",27115,6.4,R,"Horror,Musical,Sci-Fi","gore,violence,steampunk,biotech sci fi,repossession",5880,2008-11-20,"Paul Sorvino,Anthony Head,Alexa PenaVega",Darren Lynn Bousman,https://m.media-amazon.com/images/M/MV5BODJiMzhmYWMtZDQ0Mi00NTc1LTg4ZjktYjhmOTNlOTM2NTg1XkEyXkFqcGc@._V1_.jpg
11198348,Driftmark,"As the families gather on Driftmark for a funeral, Viserys calls for an end to infighting and Alicent demands justice.",53592,9.1,TV-MA,"Action,Adventure,Drama","incest,gay character,sex scene,incest sex,uncle niece incest",3540,2022-10-02,"Paddy Considine,Matt Smith,Olivia Cooke",Miguel Sapochnik,https://m.media-amazon.com/images/M/MV5BOTRiOGM5ZTUtMmU0My00OTUwLWFiNTEtOTBhYjMzZGMxMWY4XkEyXkFqcGc@._V1_.jpg
6877772,American Vandal,A true-crime satire that explores the aftermath of a costly high school prank that left twenty-seven faculty cars vandalized with phallic images.,33711,8.1,TV-MA,"Comedy,Crime,Drama","mockumentary,web series,american teenagers,mockumentary comedy,parody comedy",,2017-09-15,"Tyler Alvarez,Griffin Gluck,Jimmy Tatro",,https://m.media-amazon.com/images/M/MV5BMzU4YTYzY2UtNGM5Yi00NzYyLTliOWItZDBjYjhjY2U1NzNmXkEyXkFqcGc@._V1_.jpg
310357,Willard,A young man with an unusual connection to rats uses them at his own sociopathic will.,20805,6.1,PG-13,"Drama,Horror,Thriller","rat,killing a pet,character name as title,forename as title,psychotronic film",6000,2003-03-14,"Crispin Glover,R. Lee Ermey,Laura Harring",Glen Morgan,https://m.media-amazon.com/images/M/MV5BOWQxZjViNzYtZDY1OS00NzNkLTlmMWMtZDBhMzMyNTdlNzBhXkEyXkFqcGc@._V1_.jpg
77578,Foul Play,"A San Francisco librarian picks up a hitchhiker whose car has broken down, which leads to her being stalked and hunted by shady individuals. A cop she briefly met during a function eventually comes to her rescue.",17561,6.8,PG,"Comedy,Mystery,Thriller","music conductor,mace spray,brass knuckles,attempted assassination,houseboat",6960,1978-07-14,"Goldie Hawn,Chevy Chase,Burgess Meredith",Colin Higgins,https://m.media-amazon.com/images/M/MV5BYWQ3NmEwN2UtMWEwOS00NzRkLTkyNDItMWFhZWI3ZGRhNmNlXkEyXkFqcGc@._V1_.jpg
15799866,Silent Night,A grieving father enacts his long-awaited revenge against a ruthless gang on Christmas Eve.,23746,5.3,R,"Action,Thriller","one person army action,christmas,shootout,gunfight,martial arts",6240,2023-12-01,"Joel Kinnaman,Kid Cudi,Harold Torres",John Woo,https://m.media-amazon.com/images/M/MV5BNzhjM2Q5ZmItNzkyMC00YjU5LWI3N2QtM2E5OGJhMGMxOGEzXkEyXkFqcGc@._V1_.jpg
11192306,Superman & Lois,"The world's most famous superhero and comic books' most famous journalist face the pressures and complexities that come with balancing work, justice, and parenthood in today's society.",43730,7.8,TV-PG,"Action,Adventure,Drama","superhero costume,kryptonian,superhero action,shared universe,superman character",,2021-02-23,"Tyler Hoechlin,Elizabeth Tulloch,Alex Garfin",,https://m.media-amazon.com/images/M/MV5BMWU5NmFlYjktMmM1NS00NGMwLWIzN2MtMWQ2YTg0ZWMyNmVjXkEyXkFqcGc@._V1_.jpg
1827512,Le gamin au vélo,"Abandoned by his father, a young boy is left in a state-run youth farm. In a random act of kindness, the town hairdresser agrees to foster him on weekends.",28887,7.4,PG-13,Drama,"chase,cafe,theft,family relationships,robbery",5220,2011-05-18,"Thomas Doret,Cécile de France,Jérémie Renier","Jean-Pierre Dardenne,Luc Dardenne",https://m.media-amazon.com/images/M/MV5BMTQ3OTE3MzAyMl5BMl5BanBnXkFtZTcwNDU1OTIzNw@@._V1_.jpg
4532038,The War with Grandpa,"Upset that he has to share the room he loves with his grandfather, Peter decides to declare war in an attempt to get it back.",25696,5.7,K,"Comedy,Drama,Family","mother son relationship,christmas,room,family conflict,family relationships",5640,2020-10-09,"Robert De Niro,Uma Thurman,Rob Riggle",Tim Hill,https://m.media-amazon.com/images/M/MV5BZTJhYWYyYWEtMGZjOC00YzEyLWJkMzgtMmFiZWI1MzJiZDE4XkEyXkFqcGc@._V1_.jpg
491747,Away from Her,"A man coping with the institutionalization of his wife because of Alzheimer's disease faces an epiphany when she transfers her affections to another man, Aubrey, a wheelchair-bound mute who also is a patient at the nursing home.",23292,7.5,PG-13,Drama,"nursing home,alzheimer's disease,dementia,skiing,cross country skiing",6600,2007-04-27,"Julie Christie,Michael Murphy,Gordon Pinsent",Sarah Polley,https://m.media-amazon.com/images/M/MV5BMjExMzgyOTUyNF5BMl5BanBnXkFtZTcwNTUzMDg0MQ@@._V1_.jpg
2056771,A Bigger Splash,A famous rock star's vacation in Italy with her boyfriend is disrupted by the unexpected visit of an old friend and his daughter.,34256,6.4,R,"Drama,Music,Thriller","skinny dipping,rock star,teenage girl,singer,pantelleria island italy",7500,2015-11-26,"Tilda Swinton,Matthias Schoenaerts,Ralph Fiennes",Luca Guadagnino,https://m.media-amazon.com/images/M/MV5BMTkxNzk3NzMwN15BMl5BanBnXkFtZTgwODc3ODQ4NzE@._V1_.jpg
337909,Calendar Girls,"Best friends Chris and Annie are members of a charitable institute. When Annie's husband succumbs to leukemia, the friends decide to pose nude for a calendar to raise funds for a local hospital.",28481,6.9,PG-13,"Comedy,Drama","calendar,female empowerment,leukemia,women's institute,knapely yorkshire",6480,2003-09-12,"Helen Mirren,Julie Walters,Penelope Wilton",Nigel Cole,https://m.media-amazon.com/images/M/MV5BMjE3NzcxMDU2MV5BMl5BanBnXkFtZTYwOTgyNTc2._V1_.jpg
829459,A Mighty Heart,Mariane Pearl embarks on a frantic search to locate her journalist husband Daniel when he goes missing in Pakistan.,28395,6.6,R,"Biography,Drama,History","journalist,pakistan,missing,wall street journal,jew",6480,2007-06-22,"Angelina Jolie,Dan Futterman,Irrfan Khan",Michael Winterbottom,https://m.media-amazon.com/images/M/MV5BMTg4OTk0NDc3MV5BMl5BanBnXkFtZTcwOTU0ODc0MQ@@._V1_.jpg
