fid,name,description,ratingCount,ratingValue,contentRating,genre,keywords,duration,datePublished,actor,director,image
0480255,The Losers,"A CIA special forces team is betrayed and left for dead by their superiors, galvanizing them to mount an offensive on the CIA.",108502,6.2,PG-13,"Action,Adventure,Comedy","special forces,hacking,gun,weapon of mass destruction,girls with guns",5820,2010-04-23,"Idris Elba,Zoe Saldana,Jeffrey Dean Morgan",Sylvain White,https://m.media-amazon.com/images/M/MV5BMjU3MTU0NDI4Nl5BMl5BanBnXkFtZTcwMTE0NDMyMw@@._V1_.jpg
0384793,Accepted,"A high school slacker who's rejected by every school he applies to opts to create his own institution of higher learning, the South Harmon Institute of Technology, on a rundown piece of property near his hometown.",141850,6.4,PG-13,Comedy,"adhd,man wears eyeglasses,woman wears a bikini,boy wears eyeglasses,g.i. bill",5580,2006-08-18,"Justin Long,Jonah Hill,Blake Lively",Steve Pink,https://m.media-amazon.com/images/M/MV5BMTkzNzY5OTc3Nl5BMl5BanBnXkFtZTcwNjE4NDQzMQ@@._V1_.jpg
0384766,Rome,A down-to-earth account of the lives of both illustrious and ordinary Romans set in the last days of the Roman Republic.,191206,8.7,TV-MA,"Action,Drama,Romance","italy,roman empire,italian history,rome italy,based on true story",0,2005-08-28,"Kevin McKidd,Ray Stevenson,Polly Walker",,https://m.media-amazon.com/images/M/MV5BMGQ0M2YxMGEtMDQ2MC00NGEwLTliMTQtODVkYWZkNDFkM2Y3XkEyXkFqcGc@._V1_.jpg
0156887,Pâfekuto burû,"A pop singer gives up her career to become an actress, but she slowly goes insane when she starts being stalked by an obsessed fan and what seems to be a ghost of her past.",102829,8,Not Rated,"Animation,Crime,Drama","rape,obsessed fan,hallucination,film within a film,female protagonist",4860,1998-02-28,"Junko Iwao,Rica Matsumoto,Shinpachi Tsuji",Satoshi Kon,https://m.media-amazon.com/images/M/MV5BMzAwNDIzMzEtZDZkNC00ZDQ4LTk3ZDMtZjVhMTU2YzgzZTZiXkEyXkFqcGc@._V1_.jpg
0816462,Conan the Barbarian,A vengeful barbarian warrior sets off to get his revenge on the evil warlord who attacked his village and murdered his father when he was a boy.,103672,5.2,R,"Action,Adventure,Fantasy","barbarian,ancient world,conan the barbarian character,sword and sorcery,robert e. howard",6780,2012-05-11,"Jason Momoa,Ron Perlman,Rose McGowan",Marcus Nispel,https://m.media-amazon.com/images/M/MV5BMTQ1NDUyODk5NF5BMl5BanBnXkFtZTcwODk0MjIwNg@@._V1_.jpg
14966898,Late Night with the Devil,"A live television broadcast in 1977 goes horribly wrong, unleashing evil into the nation's living rooms.",105312,7,R,Horror,"1970s,analog horror,dead wife,parapsychologist,satanic cult",5580,2024-03-22,"David Dastmalchian,Laura Gordon,Ian Bliss","Cameron Cairnes,Colin Cairnes",https://m.media-amazon.com/images/M/MV5BYTRiNWZlNGMtOTUwZi00ZjE4LWE1ZjEtNWE4MGQ2ZGU5NDliXkEyXkFqcGc@._V1_.jpg
0010323,Das Cabinet des Dr. Caligari,"Hypnotist Dr. Caligari uses a somnambulist, Cesare, to commit murders.",72197,8,Not Rated,"Horror,Mystery,Thriller","somnambulist,mental patient,sleepwalking,mind control,insanity",4560,1920-02-27,"Werner Krauss,Conrad Veidt,Friedrich Feher",Robert Wiene,https://m.media-amazon.com/images/M/MV5BNzNhY2VmYTctODhhZC00M2U1LTk4MTktMmFmNmJhY2Y1YzgxXkEyXkFqcGc@._V1_.jpg
0036342,Shadow of a Doubt,"A teenage girl, overjoyed when her uncle comes to visit the family in their quiet California town, slowly begins to suspect that he is the ""Merry Widow"" killer sought by the authorities.",72018,7.8,PG,"Film-Noir,Thriller","serial killer,amateur detective,uncle,psychopath,hit by a train",6480,1943-01-15,"Teresa Wright,Joseph Cotten,Macdonald Carey",Alfred Hitchcock,https://m.media-amazon.com/images/M/MV5BMDFhMzBlYzctMDhkOC00OTFiLTgyYzEtZTBkNmQzNGRlMmNlXkEyXkFqcGc@._V1_.jpg
0101452,Bill & Ted's Bogus Journey,A tyrant from the future creates evil android doubles of Bill and Ted and sends them back to eliminate the originals.,82304,6.3,PG,"Adventure,Comedy,Fantasy","musician,time machine,friendship,rock band,evil robot",5580,1991-07-19,"Keanu Reeves,Alex Winter,William Sadler",Peter Hewitt,https://m.media-amazon.com/images/M/MV5BOWQyNDNmZDYtZmMxYy00NWE1LTk2MzUtMzc1M2YyOTQ4ZjRmXkEyXkFqcGc@._V1_.jpg
0116225,Escape from L.A.,"Snake Plissken is once again called in by the United States government to recover a potential doomsday device from Los Angeles, now an autonomous island where undesirables are deported.",82248,5.7,R,"Action,Adventure,Sci-Fi","dystopia,president,island,escape,earthquake",6060,1996-08-09,"Kurt Russell,Steve Buscemi,Stacy Keach",John Carpenter,https://m.media-amazon.com/images/M/MV5BNzM0NjI1MjItYzYwNS00YTQzLThlOGMtMmFkZTIyN2MxNGUyXkEyXkFqcGc@._V1_.jpg
1137450,Death Wish,"Dr. Paul Kersey is an experienced trauma surgeon, a man who has spent his life saving lives. After an attack on his family, Paul embarks on his own mission for justice.",78362,6.3,C18,"Action,Crime,Drama","remake,attempted rape,vigilante,vigilantism,home invasion",6420,2018-05-04,"Bruce Willis,Vincent D'Onofrio,Elisabeth Shue",Eli Roth,https://m.media-amazon.com/images/M/MV5BMTkzNjU3MjE0MF5BMl5BanBnXkFtZTgwNTIyNDk0NDM@._V1_.jpg
0293508,The Phantom of the Opera,A young soprano becomes the obsession of a disfigured and murderous musical genius who lives beneath the Paris Opéra House.,132976,7.2,PG-13,"Drama,Musical,Romance","opera,mask,falling chandelier,singer,singing",8580,2004-12-10,"Gerard Butler,Emmy Rossum,Patrick Wilson",Joel Schumacher,https://m.media-amazon.com/images/M/MV5BNDczNzg4OTM3MV5BMl5BanBnXkFtZTcwOTQzMTEzMw@@._V1_.jpg
0108037,The Sandlot,"In the summer of 1962, a new kid in town is taken under the wing of a young baseball prodigy and his rowdy team, resulting in many adventures.",106508,7.8,PG,"Comedy,Drama,Family","original story,baseball movie,female lifeguard,doghouse,baseball fan",6060,1993-04-07,"Tom Guiry,Mike Vitar,Art LaFleur",David Mickey Evans,https://m.media-amazon.com/images/M/MV5BNTc5YzE5OTAtMmY3YS00ODk4LTgzODItZGEzNmMxMDhhNWUwXkEyXkFqcGc@._V1_.jpg
0952640,Alvin and the Chipmunks,Three musical chipmunks are discovered by an aspiring songwriter who wants to use their amazing singing abilities to become famous.,97678,5.3,PG,"Adventure,Comedy,Family","concert,talking animal,new york city,based on cartoon,chipmunk",5520,2007-12-14,"Jason Lee,Ross Bagdasarian Jr.,Janice Karman",Tim Hill,https://m.media-amazon.com/images/M/MV5BNDVjMWNkNjEtOGU5YS00Y2Q2LTgwYjMtMTg0YWM2ZGE2MDM3XkEyXkFqcGc@._V1_.jpg
1615065,Savages,Pot growers Ben and Chon face off against the Mexican drug cartel who kidnapped their shared girlfriend.,135886,6.4,R,"Crime,Drama,Thriller","one female two males threesome,marijuana,rape and revenge,rape as revenge,close up of a woman's mouth",7860,2012-09-14,"Aaron Taylor-Johnson,Taylor Kitsch,Blake Lively",Oliver Stone,https://m.media-amazon.com/images/M/MV5BMTk0ODIyNDAyMF5BMl5BanBnXkFtZTcwMTQ5Nzg3Nw@@._V1_.jpg
0348836,Gothika,"A psychiatrist awakens as a patient in a mental institution, with no memory of the murder she's accused of committing. As she tries to regain her memory, a vengeful spirit manipulates her.",121027,5.8,R,"Horror,Mystery,Thriller","psychiatrist,female protagonist,psychiatric hospital,rape,murder of husband",5880,2003-11-21,"Halle Berry,Penélope Cruz,Robert Downey Jr.",Mathieu Kassovitz,https://m.media-amazon.com/images/M/MV5BMTYxNDA4OTAxNF5BMl5BanBnXkFtZTcwMTI5NjQzMw@@._V1_.jpg
8613070,Portrait de la jeune fille en feu,"On an isolated island in Brittany at the end of the eighteenth century, a female painter is obliged to paint a wedding portrait of a young woman.",115036,8.1,R,"Drama,Romance","portrait painting,female painter,lesbian romance,painter in love with subject,painting",7320,2019-09-18,"Noémie Merlant,Adèle Haenel,Luàna Bajrami",Céline Sciamma,https://m.media-amazon.com/images/M/MV5BZjJlYWJlYmMtNjMyMS00ZDgxLTlmNjAtOTJhMzBiZWM5N2VmXkEyXkFqcGc@._V1_.jpg
9362930,Blue Beetle,"An alien scarab chooses Jaime Reyes to be its symbiotic host, bestowing the recent college graduate with a suit of armor that's capable of extraordinary powers, forever changing his destiny as he becomes the superhero known as Blu...",104452,5.9,T13,"Action,Adventure,Sci-Fi","superhero,blue beetle character,based on comic book,dc extended universe,alien technology",7620,2023-08-18,"Xolo Maridueña,Bruna Marquezine,Becky G",Angel Manuel Soto,https://m.media-amazon.com/images/M/MV5BOTEyYzQzOTMtMWExNi00OWNjLTgwMDUtNzY0YjhmZDBiMTk2XkEyXkFqcGc@._V1_.jpg
0052520,The Twilight Zone,"Ordinary people find themselves in extraordinarily astounding situations, which they each try to solve in a remarkable manner.",97831,9,TV-PG,"Drama,Fantasy,Horror","famous opening theme,anthology,series title spoken by narrator,paranormal phenomenon,hosted television series",0,1959-10-02,"Rod Serling,Robert McCord,Jay Overholts",,https://m.media-amazon.com/images/M/MV5BZjdmOTE3NjItY2JkMi00YjlhLWI0M2UtZjEwZTQ4ZDBkM2I0XkEyXkFqcGc@._V1_.jpg
0400717,Open Season,"Boog, a domesticated 900lb. Grizzly bear, finds himself stranded in the woods 3 days before Open Season. Forced to rely on Elliot, a fast-talking mule deer, the two form an unlikely friendship and must quickly rally other forest a...",108390,6.1,P,"Animation,Adventure,Comedy","title written by female,title written by male,slimehouse,porcupine,buddy movie",5160,2007-02-16,"Ashton Kutcher,Martin Lawrence,Debra Messing","Roger Allers,Jill Culton,Anthony Stacchi",https://m.media-amazon.com/images/M/MV5BMTQwOTg2MjU0OV5BMl5BanBnXkFtZTcwMzIzNTQzMQ@@._V1_.jpg
0808279,Funny Games,Two psychopathic young men take a family hostage in their cabin.,105839,6.5,R,"Crime,Drama,Thriller","home invasion,psychopath,hostage,hit with a golf club,torture",6660,2008-04-04,"Naomi Watts,Tim Roth,Michael Pitt",Michael Haneke,https://m.media-amazon.com/images/M/MV5BMTg4OTExNTYzMV5BMl5BanBnXkFtZTcwOTg1MDU1MQ@@._V1_.jpg
1726669,Killer Joe,"When a debt puts a young man's life in danger, he turns to putting a hit out on his evil mother in order to collect the insurance.",84825,6.7,NC-17,"Crime,Drama,Thriller","neo noir,dysfunctional family,cheating wife,sexual humiliation,female pubic hair",6120,2012-06-29,"Matthew McConaughey,Emile Hirsch,Juno Temple",William Friedkin,https://m.media-amazon.com/images/M/MV5BNDZmNDk5NGUtYTYwOS00MGRlLWFhZjAtOGE2MzMzM2YzNGUyXkEyXkFqcGc@._V1_.jpg
0086066,The Outsiders,"In a small Oklahoma town in 1964, the rivalry between two gangs, the poor Greasers and the rich Socs, heats up when one gang member accidentally kills a member of the other.",101811,7,PG,"Crime,Drama","gang,brother brother relationship,rivalry,rebellious teenager,dysfunctional family",5460,1983-03-25,"C. Thomas Howell,Matt Dillon,Ralph Macchio",Francis Ford Coppola,https://m.media-amazon.com/images/M/MV5BODlmMzZjZDEtOTUwOS00OTAwLTg2YzAtYTA4ZTk3ZWNjMTgxXkEyXkFqcGc@._V1_.jpg
0159273,Behind Enemy Lines,"A disillusioned pilot shot down over war-torn Bosnia goes on the run from the local military and an assassin, as his commanding officer risks all to save him.",114927,6.4,PG-13,"Action,Drama,Thriller","sniper,bosnian war,aircraft carrier,fighter pilot,based on true story",6360,2001-11-30,"Gene Hackman,Owen Wilson,Gabriel Macht",John Moore,https://m.media-amazon.com/images/M/MV5BNTBjYjM3MTQtNmIxMi00MDY0LWExMGItYzY5MWI2MjU4YWNhXkEyXkFqcGc@._V1_.jpg
0367959,Hannibal Rising,Trauma and tragedy during World War II warp young Hannibal Lecter's mind.,117919,6.1,C18,"Adventure,Crime,Drama","snow adventure,faked death,medical student,1950s,1940s",7260,2007-02-07,"Gaspard Ulliel,Rhys Ifans,Gong Li",Peter Webber,https://m.media-amazon.com/images/M/MV5BMTIzMTA0NTM4NF5BMl5BanBnXkFtZTcwNjY3ODM0MQ@@._V1_.jpg
0120324,A Simple Plan,"Two brothers and a friend, all blue-collar workers, come across millions of dollars in lost cash and make a plan to keep their find from the authorities, but it isn't long before complications and mistrust weave their way into the...",78057,7.5,R,"Crime,Drama,Thriller","snow,plane wreck,found money,bag of money,shot in the back",7260,1999-01-22,"Bill Paxton,Billy Bob Thornton,Bridget Fonda",Sam Raimi,https://m.media-amazon.com/images/M/MV5BM2RiZGE0MGYtMmUxZS00NjZhLWJmNGEtMDNlN2RmMGFmOGJkXkEyXkFqcGc@._V1_.jpg
0335245,The Ladykillers,"An eccentric, if not charming Southern professor and his crew pose as a classical ensemble in order to rob a casino, all under the nose of his unsuspecting but sharp old landlady.",110035,6.2,R,"Comedy,Crime,Thriller","money falling through the air,heist,bridge,dead body,american remake of european film",6240,2004-06-25,"Tom Hanks,Marlon Wayans,Irma P. Hall","Ethan Coen,Joel Coen",https://m.media-amazon.com/images/M/MV5BMTYwNjUxMTYzM15BMl5BanBnXkFtZTYwNjgwMjY3._V1_.jpg
3348730,Jigsaw,Police search for a supposed to be dead killer who forces his victims to play sadistic games of life and death.,96317,5.7,R,"Horror,Mystery,Thriller","suicide by hanging,chain,flashback,buzz saw,blade",5520,2017-10-27,"Matt Passmore,Tobin Bell,Callum Keith Rennie","Michael Spierig,Peter Spierig",https://m.media-amazon.com/images/M/MV5BZDk1ZTk1ZGYtNmViOS00NDExLTg0NTktMGZjYzg2ZDJlNmViXkEyXkFqcGc@._V1_.jpg
5503686,Hustlers,"Inspired by the viral New York Magazine article, ""Hustlers"" follows a crew of savvy former strip-club employees who band together to turn the tables on their Wall Street clients.",109485,6.3,R,"Comedy,Crime,Drama","seduction,vomiting,stripper,female nudity,dancer",6600,2019-09-13,"Constance Wu,Jennifer Lopez,Julia Stiles",Lorene Scafaria,https://m.media-amazon.com/images/M/MV5BYzczZjhlODEtZDk5OS00MTdjLThlZWEtYzExY2IxNWVlMjk1XkEyXkFqcGc@._V1_.jpg
0277371,Not Another Teen Movie,A sendup of all the teen movies that have accumulated in the past two decades.,119081,5.8,R,Comedy,"teen sex comedy,vibrator,female rear nudity,cheerleader,foreign exchange student",5340,2001-12-14,"Chyler Leigh,Jaime Pressly,Chris Evans",Joel Gallen,https://m.media-amazon.com/images/M/MV5BNjllYzVjNjItYjQ2Ni00OGU4LTlkYjItMDYxOTBlM2YzNDA5XkEyXkFqcGc@._V1_.jpg
1448755,Killer Elite,"When his mentor is taken captive by a disgraced Arab sheik, a killer-for-hire is forced into action. His mission: kill three members of Britain's elite Special Air Service responsible for his son's deaths.",136986,6.4,R,"Action,Thriller","man tied up,mentor,sas,coming out of retirement,tied to a chair",6960,2011-09-23,"Jason Statham,Clive Owen,Robert De Niro",Gary McKendry,https://m.media-amazon.com/images/M/MV5BMTc4MDAxMjAzNV5BMl5BanBnXkFtZTcwNTY3ODg3NQ@@._V1_.jpg
0452594,The Break-Up,A couple's break-up proceeds to get uglier and nastier by the moment as each tries to keep their luxurious condo from the other.,140790,5.8,PG-13,"Comedy,Drama,Romance","woman wrapped in a towel,brother brother relationship,male and female protagonists,male chauvinism,reference to lionel richie",6360,2006-06-02,"Jennifer Aniston,Vince Vaughn,Jon Favreau",Peyton Reed,https://m.media-amazon.com/images/M/MV5BZTVhNTdkNmYtYWViNC00MjJjLWFjMjMtMmY1YzA1NzI3MzQ0XkEyXkFqcGc@._V1_.jpg
0206512,SpongeBob SquarePants,"The misadventures of a talking sea sponge who works at a fast food restaurant, attends a boating school, and lives in an underwater pineapple.",115982,8.2,TV-Y7,"Animation,Comedy,Family","fast food,slapstick comedy,bikini bottom city,spongebob squarepants character,underwater",0,2001-04-07,"Tom Kenny,Rodger Bumpass,Bill Fagerbakke",,https://m.media-amazon.com/images/M/MV5BYjJmMjBkZjMtZThiZS00Nzk3LWJlN2UtYmE5ZjkyNjJiZjgxXkEyXkFqcGc@._V1_.jpg
0150377,Double Jeopardy,"Libby Parsons, wrongly convicted for her husband Nick's murder, thinks he is still alive and wants to settle the score and find their son. As she has been tried for the crime, she cannot be re-prosecuted if she finds and kills Nick.",98418,6.5,R,"Crime,Drama,Mystery","wrongful arrest,wrongful conviction,double jeopardy,searching for the truth,blood",6300,1999-09-24,"Ashley Judd,Tommy Lee Jones,Bruce Greenwood",Bruce Beresford,https://m.media-amazon.com/images/M/MV5BZGFhMzVkYmQtYzI4OS00ZTYxLThjYTItYzZjYzY2OTlkMGQ4XkEyXkFqcGc@._V1_.jpg
0245674,Thir13en Ghosts,"When Cyrus Kriticos, a very rich collector of unique things, dies, he leaves his house, fortune, and his prized collection of ghosts.",96427,5.6,R,"Fantasy,Horror","ghost,glass house,mixed alpha numeric title,body count,faking one's own death",5460,2001-10-25,"Tony Shalhoub,Shannon Elizabeth,Embeth Davidtz",Steve Beck,https://m.media-amazon.com/images/M/MV5BNmFjMzZkODQtYmEwNS00MzIwLThhNmMtNjRiMmRjNjQ3MzQwXkEyXkFqcGc@._V1_.jpg
0988595,27 Dresses,"After serving as a bridesmaid 27 times, a young woman wrestles with the idea of standing by her sister's side as her sibling marries the man she's secretly in love with.",178530,6.1,PG-13,"Comedy,Romance","feel good romance,romantic comedy,bridesmaid,manhattan new york city,ends with a wedding",6660,2008-04-18,"Katherine Heigl,James Marsden,Malin Akerman",Anne Fletcher,https://m.media-amazon.com/images/M/MV5BZWM3ZjRiNGUtNmZkMy00YWNkLWI5MGUtYWI1NTc5NGVkODJkXkEyXkFqcGc@._V1_.jpg
1486217,Archer,Covert black ops and espionage take a back seat to zany personalities and relationships between secret agents and drones.,169499,8.6,TV-MA,"Animation,Action,Comedy","spy,adult animation,domineering mother,violence,espionage",0,2009-09-17,"H. Jon Benjamin,Judy Greer,Amber Nash",,https://m.media-amazon.com/images/M/MV5BMTg3NTMwMzY2OF5BMl5BanBnXkFtZTgwMDcxMjQ0NDE@._V1_.jpg
1843230,Once Upon a Time,A young woman with a troubled past is drawn to a small town in Maine where fairy tales are to be believed.,240592,7.7,TV-PG,"Adventure,Fantasy,Romance","fairy tale,mayor,curse,family relationships,good versus evil",0,2011-10-23,"Ginnifer Goodwin,Jennifer Morrison,Lana Parrilla",,https://m.media-amazon.com/images/M/MV5BZDgwNTcwYmMtNjVmNi00NDdkLTllY2MtYmQ4MTM3ZThjZTllXkEyXkFqcGc@._V1_.jpg
0385004,Shi mian mai fu,"A romantic police captain breaks a beautiful member of a rebel group out of prison to help her rejoin her fellows, but things are not what they seem.",117271,7.5,PG-13,"Action,Adventure,Drama","snow adventure,rape,tied up,wuxia,9th century",7140,2004-08-27,"Ziyi Zhang,Takeshi Kaneshiro,Andy Lau",Yimou Zhang,https://m.media-amazon.com/images/M/MV5BYWZlZjQwMjUtNGI5Ny00ODg4LTg0Y2UtODkxYmYxM2IxNjgzXkEyXkFqcGc@._V1_.jpg
1442449,Spartacus,"The life of Spartacus, the gladiator who led a rebellion against the Romans. From his time as an ally of the Romans, to his betrayal and becoming a gladiator, to the rebellion he leads and its ultimate outcome.",262537,8.5,TV-MA,"Action,Adventure,Biography","female nudity,female frontal nudity,slave girl,rape,belief in gods",0,2010-01-22,"Andy Whitfield,Lucy Lawless,Manu Bennett",,https://m.media-amazon.com/images/M/MV5BNTc4ZjlkNjUtOWZlMS00ODQ0LTg2MWUtMjBkNjMwOTJkOWZmXkEyXkFqcGc@._V1_.jpg
1634106,Bloodshot,"Ray Garrison, a slain soldier, is re-animated with superpowers.",87012,5.7,C18,"Action,Adventure,Sci-Fi","valiant comics,superhero,revenge,cyborg,nanotechnology",6540,2020-03-13,"Vin Diesel,Eiza González,Sam Heughan",Dave Wilson,https://m.media-amazon.com/images/M/MV5BNDFjMTI4ZTQtYzNlNS00YmJiLWEyYzYtYWFiYTZjOTI5MDM1XkEyXkFqcGc@._V1_.jpg
3203606,Trumbo,"In 1947, Dalton Trumbo was Hollywood's top screenwriter, until he and other artists were jailed and blacklisted for their political beliefs.",85599,7.4,R,"Biography,Drama","communist,gossip columnist,gossip,fiction writer,film industry",7440,2015-11-27,"Bryan Cranston,Diane Lane,Helen Mirren",Jay Roach,https://m.media-amazon.com/images/M/MV5BMjM1MDc2OTQ3NV5BMl5BanBnXkFtZTgwNzQ0NjQ1NjE@._V1_.jpg
2359024,Blue Ruin,"A mysterious outsider's quiet life is turned upside down when he returns to his childhood home to carry out an act of vengeance. Proving himself an amateur assassin, he winds up in a brutal fight to protect his estranged family.",81607,7.1,R,"Crime,Drama,Thriller","crowdfunded,vengeance,neo noir,car,written by director",5400,2014-07-09,"Macon Blair,Devin Ratray,Amy Hargreaves",Jeremy Saulnier,https://m.media-amazon.com/images/M/MV5BMTY4NTM2MDg5OV5BMl5BanBnXkFtZTgwMDA3OTAwMTE@._V1_.jpg
10539608,The Midnight Sky,"This post-apocalyptic tale follows Augustine, a lonely scientist in the Arctic, as he races to stop Sully and her fellow astronauts from returning home to a mysterious global catastrophe.",90712,5.7,C13,"Adventure,Drama,Sci-Fi","spaceship,scientist,survival,space adventure,astronaut",7080,2020-12-23,"George Clooney,Felicity Jones,David Oyelowo",George Clooney,https://m.media-amazon.com/images/M/MV5BMTE2NzJiM2UtZGRiMy00M2Q2LWFmZTAtYmI0MzVmZThkYTFhXkEyXkFqcGc@._V1_.jpg
0100935,Wild at Heart,Young lovers Sailor and Lula run from the variety of weirdos that Lula's mom has hired to kill Sailor.,103408,7.2,C18,"Crime,Drama,Thriller","forbidden love,surrealism,domineering mother,road movie,murder",7500,1990-08-17,"Nicolas Cage,Laura Dern,Willem Dafoe",David Lynch,https://m.media-amazon.com/images/M/MV5BMmUyNjMzMjEtMGFkNy00MDA1LWI0NGEtMDY5OGU1N2NmNDg1XkEyXkFqcGc@._V1_.jpg
0060028,Star Trek,"In the 23rd Century, Captain James T. Kirk and the crew of the U.S.S. Enterprise explore the galaxy and defend the United Federation of Planets.",95379,8.4,TV-PG,"Action,Adventure,Sci-Fi","star trek,cult tv,phaser,alien species,vulcan",0,1966-09-08,"William Shatner,Leonard Nimoy,DeForest Kelley",,https://m.media-amazon.com/images/M/MV5BMmIyYjI0YzUtOWRiZS00NDJhLThiZTktNDkyYzg4Yjg5YmJmXkEyXkFqcGc@._V1_.jpg
4364194,The Peanut Butter Falcon,"Zak, a man with down syndrome, runs away from a residential nursing home to pursue his dream of becoming a wrestler. Later, he meets with an outlaw who becomes his friend and coach.",110455,7.6,PG-13,"Adventure,Comedy,Drama","down syndrome,friendship,wrestling,loss of loved one,innocence",5820,2019-08-23,"Zack Gottsagen,Ann Pierce,Dakota Johnson","Tyler Nilson,Michael Schwartz",https://m.media-amazon.com/images/M/MV5BYjgxZTE4NDctZTM1MC00YjIwLTk0MmMtNWFkZGUwMGE2ZjNhXkEyXkFqcGc@._V1_.jpg
